Student,Math,English,Chemistry,Physics,CS
student0,91/100,75/100,51/100,9/100,47/100
student1,91/100,2/100,35/100,22/100,78/100
student2,79/100,17/100,48/100,48/100,54/100
student3,50/100,49/100,49/100,63/100,54/100
student4,3/100,83/100,71/100,39/100,49/100
student5,13/100,90/100,65/100,52/100,84/100
student6,70/100,34/100,13/100,43/100,8/100
student7,2/100,34/100,24/100,65/100,97/100
student8,70/100,67/100,82/100,38/100,39/100
student9,1/100,43/100,34/100,19/100,76/100
student10,88/100,98/100,40/100,15/100,35/100
student11,8/100,34/100,23/100,92/100,14/100
student12,96/100,10/100,21/100,15/100,51/100
student13,15/100,51/100,34/100,72/100,95/100
student14,57/100,56/100,12/100,36/100,23/100
student15,48/100,43/100,47/100,82/100,54/100
student16,88/100,75/100,72/100,61/100,19/100
student17,73/100,42/100,77/100,14/100,17/100
student18,31/100,12/100,12/100,93/100,3/100
student19,75/100,99/100,97/100,85/100,43/100
student20,98/100,95/100,36/100,32/100,73/100
student21,68/100,74/100,54/100,23/100,30/100
student22,42/100,46/100,73/100,52/100,57/100
student23,11/100,34/100,59/100,96/100,78/100
student24,22/100,3/100,3/100,11/100,96/100
student25,16/100,67/100,77/100,93/100,29/100
student26,69/100,75/100,8/100,81/100,96/100
student27,72/100,42/100,48/100,51/100,18/100
student28,58/100,7/100,73/100,12/100,85/100
student29,27/100,2/100,60/100,13/100,94/100
student30,93/100,30/100,69/100,70/100,13/100
student31,92/100,3/100,14/100,16/100,89/100
student32,37/100,51/100,79/100,92/100,31/100
student33,64/100,79/100,3/100,49/100,32/100
student34,46/100,38/100,39/100,26/100,66/100
student35,77/100,92/100,100/100,95/100,79/100
student36,34/100,42/100,7/100,11/100,79/100
student37,75/100,51/100,5/100,21/100,44/100
student38,65/100,59/100,59/100,76/100,47/100
student39,37/100,66/100,73/100,26/100,91/100
student40,1/100,41/100,5/100,87/100,40/100
student41,48/100,39/100,50/100,42/100,55/100
student42,73/100,24/100,23/100,94/100,37/100
student43,74/100,17/100,50/100,30/100,82/100
student44,28/100,87/100,94/100,98/100,71/100
student45,6/100,34/100,28/100,6/100,7/100
student46,27/100,95/100,3/100,50/100,58/100
student47,67/100,85/100,22/100,83/100,19/100
student48,39/100,36/100,10/100,24/100,61/100
student49,47/100,59/100,60/100,99/100,75/100
student50,23/100,76/100,61/100,24/100,52/100
student51,64/100,47/100,9/100,86/100,28/100
student52,19/100,34/100,98/100,73/100,24/100
student53,30/100,59/100,69/100,71/100,17/100
student54,32/100,98/100,7/100,35/100,24/100
student55,18/100,32/100,3/100,27/100,86/100
student56,70/100,90/100,88/100,73/100,44/100
student57,53/100,4/100,67/100,50/100,66/100
student58,28/100,29/100,97/100,38/100,32/100
student59,55/100,7/100,91/100,20/100,82/100
student60,23/100,84/100,24/100,39/100,51/100
student61,98/100,13/100,49/100,27/100,19/100
student62,24/100,32/100,13/100,30/100,75/100
student63,8/100,5/100,84/100,62/100,82/100
student64,19/100,77/100,55/100,45/100,12/100
student65,70/100,7/100,73/100,24/100,84/100
student66,50/100,53/100,2/100,14/100,67/100
student67,51/100,52/100,3/100,61/100,70/100
student68,82/100,47/100,84/100,95/100,5/100
student69,22/100,18/100,2/100,21/100,56/100
student70,57/100,70/100,40/100,52/100,63/100
student71,59/100,54/100,73/100,12/100,35/100
student72,91/100,74/100,40/100,44/100,20/100
student73,99/100,98/100,89/100,100/100,10/100
student74,28/100,46/100,42/100,81/100,23/100
student75,53/100,92/100,29/100,70/100,49/100
student76,31/100,94/100,57/100,34/100,14/100
student77,25/100,67/100,14/100,31/100,58/100
student78,78/100,7/100,35/100,25/100,10/100
student79,68/100,4/100,8/100,63/100,60/100
student80,74/100,12/100,76/100,84/100,68/100
student81,7/100,52/100,57/100,81/100,98/100
student82,97/100,18/100,14/100,50/100,92/100
student83,83/100,19/100,67/100,5/100,38/100
student84,21/100,9/100,94/100,100/100,11/100
student85,20/100,18/100,85/100,25/100,27/100
student86,25/100,60/100,64/100,82/100,9/100
student87,76/100,83/100,45/100,75/100,3/100
student88,80/100,44/100,12/100,31/100,58/100
student89,79/100,15/100,52/100,62/100,17/100
student90,62/100,2/100,29/100,69/100,90/100
student91,8/100,1/100,43/100,73/100,81/100
student92,51/100,8/100,22/100,83/100,89/100
student93,63/100,81/100,21/100,9/100,43/100
student94,36/100,17/100,82/100,20/100,24/100
student95,69/100,80/100,44/100,76/100,61/100
student96,10/100,76/100,39/100,96/100,75/100
student97,9/100,38/100,33/100,47/100,76/100
student98,75/100,62/100,36/100,6/100,80/100
student99,79/100,54/100,1/100,26/100,82/100
student100,14/100,44/100,4/100,5/100,55/100
student101,61/100,41/100,89/100,79/100,13/100
student102,82/100,3/100,95/100,42/100,20/100
student103,98/100,73/100,99/100,72/100,26/100
student104,89/100,61/100,61/100,50/100,83/100
student105,70/100,86/100,89/100,3/100,37/100
student106,29/100,2/100,57/100,89/100,74/100
student107,30/100,88/100,9/100,69/100,78/100
student108,1/100,60/100,18/100,54/100,20/100
student109,73/100,63/100,76/100,98/100,11/100
student110,84/100,11/100,91/100,31/100,78/100
student111,57/100,77/100,46/100,96/100,30/100
student112,12/100,96/100,80/100,69/100,98/100
student113,18/100,89/100,82/100,28/100,70/100
student114,94/100,69/100,38/100,55/100,80/100
student115,45/100,40/100,69/100,58/100,86/100
student116,31/100,21/100,50/100,79/100,48/100
student117,45/100,53/100,33/100,97/100,21/100
student118,55/100,14/100,81/100,62/100,13/100
student119,15/100,15/100,15/100,62/100,85/100
student120,45/100,43/100,9/100,89/100,50/100
student121,4/100,27/100,18/100,63/100,46/100
student122,60/100,96/100,70/100,68/100,65/100
student123,13/100,54/100,16/100,9/100,61/100
student124,7/100,18/100,36/100,12/100,86/100
student125,45/100,34/100,59/100,53/100,51/100
student126,42/100,84/100,1/100,62/100,92/100
student127,82/100,90/100,74/100,1/100,24/100
student128,76/100,68/100,32/100,22/100,67/100
student129,78/100,34/100,99/100,14/100,65/100
student130,75/100,70/100,19/100,41/100,17/100
student131,21/100,90/100,90/100,39/100,77/100
student132,46/100,17/100,4/100,100/100,36/100
student133,74/100,6/100,33/100,17/100,10/100
student134,63/100,86/100,72/100,18/100,18/100
student135,45/100,55/100,51/100,70/100,38/100
student136,42/100,7/100,87/100,83/100,47/100
student137,14/100,89/100,6/100,1/100,17/100
student138,29/100,15/100,63/100,89/100,34/100
student139,30/100,70/100,98/100,46/100,69/100
student140,61/100,89/100,74/100,35/100,19/100
student141,79/100,4/100,58/100,75/100,39/100
student142,45/100,10/100,49/100,98/100,64/100
student143,87/100,76/100,91/100,25/100,9/100
student144,20/100,43/100,34/100,57/100,67/100
student145,22/100,84/100,20/100,26/100,82/100
student146,86/100,39/100,46/100,48/100,67/100
student147,27/100,9/100,40/100,21/100,15/100
student148,18/100,51/100,76/100,50/100,37/100
student149,64/100,21/100,78/100,45/100,7/100
student150,34/100,68/100,68/100,46/100,56/100
student151,87/100,38/100,32/100,43/100,7/100
student152,73/100,80/100,31/100,46/100,54/100
student153,25/100,31/100,52/100,28/100,4/100
student154,61/100,90/100,72/100,12/100,61/100
student155,21/100,1/100,36/100,40/100,5/100
student156,3/100,52/100,99/100,90/100,82/100
student157,46/100,66/100,12/100,57/100,49/100
student158,64/100,63/100,38/100,78/100,69/100
student159,75/100,86/100,90/100,25/100,82/100
student160,74/100,64/100,5/100,54/100,40/100
student161,91/100,42/100,72/100,92/100,44/100
student162,63/100,57/100,9/100,42/100,66/100
student163,20/100,27/100,67/100,9/100,26/100
student164,26/100,15/100,14/100,42/100,94/100
student165,59/100,71/100,53/100,60/100,77/100
student166,64/100,84/100,11/100,64/100,16/100
student167,49/100,62/100,3/100,89/100,45/100
student168,12/100,16/100,94/100,92/100,96/100
student169,40/100,45/100,40/100,32/100,79/100
student170,90/100,95/100,29/100,75/100,85/100
student171,7/100,96/100,14/100,65/100,76/100
student172,31/100,28/100,26/100,59/100,68/100
student173,44/100,14/100,81/100,6/100,74/100
student174,20/100,33/100,50/100,82/100,33/100
student175,88/100,42/100,73/100,43/100,87/100
student176,5/100,70/100,85/100,86/100,93/100
student177,5/100,1/100,73/100,78/100,95/100
student178,99/100,98/100,98/100,9/100,71/100
student179,27/100,98/100,49/100,63/100,98/100
student180,48/100,70/100,87/100,24/100,31/100
student181,24/100,57/100,13/100,19/100,17/100
student182,51/100,27/100,80/100,27/100,96/100
student183,25/100,99/100,59/100,23/100,45/100
student184,23/100,15/100,94/100,47/100,6/100
student185,37/100,29/100,17/100,83/100,56/100
student186,34/100,22/100,52/100,29/100,18/100
student187,94/100,49/100,93/100,26/100,72/100
student188,92/100,16/100,46/100,93/100,13/100
student189,29/100,91/100,55/100,17/100,7/100
student190,57/100,4/100,90/100,78/100,54/100
student191,96/100,25/100,54/100,64/100,49/100
student192,34/100,41/100,86/100,47/100,37/100
student193,69/100,91/100,72/100,77/100,6/100
student194,82/100,62/100,10/100,97/100,47/100
student195,5/100,31/100,55/100,11/100,28/100
student196,37/100,62/100,23/100,28/100,25/100
student197,60/100,43/100,55/100,45/100,37/100
student198,21/100,75/100,45/100,64/100,73/100
student199,59/100,54/100,86/100,31/100,80/100
student200,96/100,63/100,43/100,4/100,65/100
student201,9/100,15/100,33/100,21/100,93/100
student202,37/100,72/100,31/100,92/100,19/100
student203,16/100,86/100,20/100,7/100,97/100
student204,48/100,26/100,81/100,88/100,67/100
student205,14/100,41/100,35/100,92/100,77/100
student206,47/100,73/100,19/100,47/100,25/100
student207,83/100,54/100,77/100,83/100,18/100
student208,72/100,51/100,99/100,10/100,25/100
student209,23/100,12/100,72/100,11/100,70/100
student210,96/100,48/100,53/100,74/100,88/100
student211,65/100,33/100,9/100,64/100,41/100
student212,33/100,100/100,61/100,42/100,20/100
student213,24/100,42/100,57/100,67/100,3/100
student214,35/100,90/100,44/100,11/100,91/100
student215,11/100,35/100,17/100,90/100,77/100
student216,20/100,43/100,78/100,33/100,95/100
student217,49/100,61/100,78/100,97/100,43/100
student218,83/100,73/100,60/100,27/100,34/100
student219,25/100,35/100,69/100,43/100,10/100
student220,27/100,9/100,20/100,41/100,89/100
student221,5/100,90/100,78/100,8/100,68/100
student222,11/100,99/100,49/100,50/100,35/100
student223,80/100,52/100,66/100,96/100,10/100
student224,63/100,85/100,94/100,4/100,17/100
student225,73/100,1/100,39/100,99/100,2/100
student226,91/100,79/100,93/100,68/100,10/100
student227,23/100,44/100,33/100,18/100,14/100
student228,95/100,28/100,60/100,65/100,64/100
student229,28/100,80/100,36/100,7/100,9/100
student230,44/100,24/100,30/100,29/100,74/100
student231,9/100,71/100,48/100,81/100,94/100
student232,60/100,27/100,23/100,73/100,66/100
student233,34/100,37/100,6/100,63/100,39/100
student234,50/100,54/100,20/100,87/100,39/100
student235,74/100,39/100,29/100,100/100,17/100
student236,87/100,98/100,57/100,59/100,33/100
student237,17/100,11/100,42/100,85/100,53/100
student238,8/100,69/100,60/100,73/100,47/100
student239,13/100,28/100,61/100,80/100,47/100
student240,89/100,5/100,23/100,29/100,55/100
student241,14/100,19/100,77/100,75/100,99/100
student242,64/100,33/100,12/100,40/100,70/100
student243,41/100,29/100,42/100,15/100,42/100
student244,87/100,27/100,77/100,19/100,1/100
student245,88/100,63/100,51/100,49/100,6/100
student246,6/100,89/100,73/100,100/100,96/100
student247,93/100,1/100,10/100,63/100,61/100
student248,50/100,64/100,50/100,70/100,78/100
student249,11/100,81/100,77/100,98/100,98/100
student250,73/100,85/100,26/100,87/100,60/100
student251,41/100,6/100,41/100,82/100,91/100
student252,12/100,95/100,80/100,85/100,56/100
student253,12/100,49/100,4/100,33/100,79/100
student254,52/100,62/100,63/100,36/100,66/100
student255,26/100,77/100,27/100,39/100,78/100
student256,21/100,62/100,87/100,49/100,77/100
student257,70/100,54/100,76/100,85/100,63/100
student258,80/100,15/100,45/100,67/100,58/100
student259,25/100,65/100,43/100,5/100,91/100
student260,69/100,60/100,3/100,8/100,14/100
student261,25/100,15/100,36/100,100/100,44/100
student262,27/100,59/100,6/100,97/100,50/100
student263,47/100,76/100,24/100,44/100,50/100
student264,2/100,80/100,73/100,34/100,90/100
student265,56/100,5/100,88/100,35/100,1/100
student266,7/100,28/100,99/100,46/100,65/100
student267,49/100,51/100,75/100,100/100,33/100
student268,11/100,55/100,30/100,29/100,19/100
student269,81/100,23/100,40/100,28/100,35/100
student270,96/100,35/100,32/100,90/100,46/100
student271,95/100,74/100,52/100,24/100,60/100
student272,14/100,74/100,44/100,36/100,4/100
student273,69/100,29/100,10/100,28/100,10/100
student274,47/100,66/100,97/100,69/100,3/100
student275,65/100,51/100,19/100,82/100,6/100
student276,36/100,72/100,30/100,31/100,18/100
student277,98/100,11/100,37/100,82/100,37/100
student278,32/100,59/100,33/100,50/100,42/100
student279,46/100,60/100,49/100,61/100,51/100
student280,89/100,73/100,64/100,33/100,6/100
student281,24/100,53/100,93/100,14/100,4/100
student282,22/100,26/100,46/100,58/100,98/100
student283,87/100,25/100,85/100,27/100,12/100
student284,69/100,54/100,26/100,55/100,36/100
student285,56/100,14/100,51/100,10/100,49/100
student286,46/100,73/100,2/100,52/100,40/100
student287,76/100,14/100,14/100,35/100,89/100
student288,37/100,44/100,18/100,99/100,48/100
student289,83/100,95/100,92/100,40/100,62/100
student290,39/100,40/100,4/100,87/100,94/100
student291,14/100,91/100,18/100,46/100,71/100
student292,12/100,87/100,26/100,62/100,74/100
student293,4/100,52/100,96/100,2/100,3/100
student294,86/100,28/100,88/100,47/100,73/100
student295,73/100,45/100,50/100,41/100,33/100
student296,5/100,42/100,96/100,48/100,90/100
student297,77/100,1/100,68/100,59/100,70/100
student298,65/100,79/100,49/100,70/100,75/100
student299,14/100,87/100,21/100,30/100,73/100
